path,filename,class
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/DT-NVS- Diffusion Transformers for Novel View Synthesis.md,DT-NVS- Diffusion Transformers for Novel View Synthesis,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/SE(3)-Transformers- 3D Roto-Translation Equivariant Attention Networks.md,SE(3)-Transformers- 3D Roto-Translation Equivariant Attention Networks,2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Point cloud semantic segmentation with adaptive spatial structure graph transformer (ASGFormer).md,Point cloud semantic segmentation with adaptive spatial structure graph transformer (ASGFormer),2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/02 - Increasing Transformer’s Dimensions/Point 4D Transformer Networks for Spatio-Temporal Modeling in Point Cloud Videos (P4Transformer).md,Point 4D Transformer Networks for Spatio-Temporal Modeling in Point Cloud Videos (P4Transformer),2
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/01 - Positional Encoding Improvements/Maximizing the Position Embedding for Vision Transformers (MPVG).md,Maximizing the Position Embedding for Vision Transformers (MPVG),1
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/01 - Positional Encoding Improvements/Tackling the Abstraction and Reasoning Corpus with Vision Transformers- the ViTARC Architecture.md,Tackling the Abstraction and Reasoning Corpus with Vision Transformers- the ViTARC Architecture,1
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/01 - Positional Encoding Improvements/Wavelet-based Positional Representation for Long Context.md,Wavelet-based Positional Representation for Long Context,1
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/01 - Positional Encoding Improvements/Exploring Context Window of LLMs.md,Exploring Context Window of LLMs,1
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/01 - Positional Encoding Improvements/RoPE scaling analysis + new scaling.md,RoPE scaling analysis + new scaling,1
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/01 - Positional Encoding Improvements/DAPE- Data-Adaptive Positional Encoding for Length Extrapolation.md,DAPE- Data-Adaptive Positional Encoding for Length Extrapolation,1
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/01 - Positional Encoding Improvements/HiRoPE- Length Extrapolation for Code Models Using Hierarchical Rotary Position Embedding.md,HiRoPE- Length Extrapolation for Code Models Using Hierarchical Rotary Position Embedding,1
